Location,Routes,Transportation_Mode,Shipping_Carrier,Volume,Total_Shipping_Cost,Status_Skenario
Bangalore,Route A,Air,Carrier B,78.0,4.191324585705502,Before
Bangalore,Route A,Air,Carrier C,2.0,9.741291689284369,Before
Bangalore,Route A,Rail,Carrier A,22.0,7.054538336836926,Before
Bangalore,Route A,Rail,Carrier B,106.0,7.701800485963551,Before
Bangalore,Route A,Road,Carrier A,78.0,14.011190875000182,Before
Bangalore,Route A,Road,Carrier B,73.0,9.393938442379241,Before
Bangalore,Route A,Road,Carrier C,57.0,7.526248326851508,Before
Bangalore,Route A,Sea,Carrier A,10.0,2.45793352798733,Before
Bangalore,Route B,Rail,Carrier A,77.0,6.599614159689544,Before
Bangalore,Route B,Rail,Carrier B,96.0,7.674430708112694,Before
Bangalore,Route B,Road,Carrier A,48.0,9.537283061108338,Before
Bangalore,Route B,Sea,Carrier B,69.0,2.4220397232752044,Before
Bangalore,Route C,Air,Carrier B,20.0,6.4963253642950445,Before
Bangalore,Route C,Road,Carrier B,33.0,8.664056539018503,Before
Chennai,Route A,Air,Carrier C,66.0,7.0064320590043945,Before
Chennai,Route A,Rail,Carrier B,79.0,6.624956103849983,Before
Chennai,Route A,Road,Carrier B,66.0,1.5129368369160772,Before
Chennai,Route A,Sea,Carrier B,38.0,5.773263743766654,Before
Chennai,Route A,Sea,Carrier C,95.0,4.85827050343664,Before
Chennai,Route B,Air,Carrier A,148.0,17.25995027584947,Before
Chennai,Route B,Rail,Carrier A,83.0,7.166645291048216,Before
Chennai,Route B,Rail,Carrier B,59.0,1.3110237561206226,Before
Chennai,Route B,Road,Carrier A,21.0,1.019487570822119,Before
Chennai,Route B,Road,Carrier B,6.0,4.070955837084083,Before
Chennai,Route B,Road,Carrier C,66.0,8.249168704871728,Before
Chennai,Route B,Sea,Carrier A,55.0,6.575803797548535,Before
Chennai,Route B,Sea,Carrier C,41.0,2.8331846794189746,Before
Chennai,Route C,Air,Carrier B,7.0,6.037883769218298,Before
Chennai,Route C,Air,Carrier C,141.0,6.059316719277803,Before
Chennai,Route C,Rail,Carrier B,44.0,2.6796609649814065,Before
Chennai,Route C,Road,Carrier A,94.0,4.742635882841877,Before
Delhi,Route A,Air,Carrier A,56.0,3.890547915870672,Before
Delhi,Route A,Rail,Carrier A,1.0,5.237654650037448,Before
Delhi,Route A,Rail,Carrier B,51.0,9.16055853538187,Before
Delhi,Route A,Rail,Carrier C,81.0,10.083070690277609,Before
Delhi,Route B,Air,Carrier B,54.0,1.0134865660958965,Before
Delhi,Route B,Rail,Carrier A,82.0,6.247860914975991,Before
Delhi,Route B,Rail,Carrier B,165.0,18.48073752794577,Before
Delhi,Route B,Road,Carrier A,44.0,4.93843856471209,Before
Delhi,Route B,Sea,Carrier A,11.0,5.014364955030907,Before
Delhi,Route C,Air,Carrier B,28.0,2.107951267159081,Before
Delhi,Route C,Air,Carrier C,75.0,4.585353468194652,Before
Delhi,Route C,Sea,Carrier C,85.0,5.288189990327409,Before
Kolkata,Route A,Air,Carrier A,60.0,4.523943124316663,Before
Kolkata,Route A,Air,Carrier B,53.0,16.999009386988078,Before
Kolkata,Route A,Air,Carrier C,36.0,9.030340422521949,Before
Kolkata,Route A,Rail,Carrier A,29.0,2.924857601145554,Before
Kolkata,Route A,Rail,Carrier B,51.0,8.97875075594997,Before
Kolkata,Route A,Rail,Carrier C,59.0,1.7295685635434288,Before
Kolkata,Route A,Road,Carrier A,19.0,2.2161427287713638,Before
Kolkata,Route A,Road,Carrier C,103.0,13.828700040975058,Before
Kolkata,Route A,Sea,Carrier A,21.0,1.5326552735904306,Before
Kolkata,Route A,Sea,Carrier C,104.0,8.219988017062711,Before
Kolkata,Route B,Air,Carrier A,34.0,5.562503778830384,Before
Kolkata,Route B,Air,Carrier B,78.0,2.039770189449332,Before
Kolkata,Route B,Rail,Carrier B,27.0,9.92981624527726,Before
Kolkata,Route B,Road,Carrier A,85.0,1.325274010184522,Before
Kolkata,Route B,Road,Carrier B,185.0,19.187023242302562,Before
Kolkata,Route B,Road,Carrier C,132.0,10.90428489256034,Before
Kolkata,Route C,Rail,Carrier A,63.0,9.56764892092304,Before
Kolkata,Route C,Rail,Carrier C,54.0,6.580541347884595,Before
Kolkata,Route C,Road,Carrier B,35.0,8.954528315318015,Before
Mumbai,Route A,Air,Carrier B,135.0,22.222500646060432,Before
Mumbai,Route A,Rail,Carrier B,22.0,1.4543053101535517,Before
Mumbai,Route A,Rail,Carrier C,72.0,4.3813681581023145,Before
Mumbai,Route A,Road,Carrier A,4.0,7.904845611209675,Before
Mumbai,Route A,Road,Carrier C,32.0,5.352878043996809,Before
Mumbai,Route A,Sea,Carrier A,85.0,3.8012531329310777,Before
Mumbai,Route B,Air,Carrier B,88.0,9.235931437249228,Before
Mumbai,Route B,Air,Carrier C,83.0,1.7744297140717396,Before
Mumbai,Route B,Rail,Carrier B,10.0,4.469500026123601,Before
Mumbai,Route B,Rail,Carrier C,9.0,7.0958331565551385,Before
Mumbai,Route B,Road,Carrier A,37.0,9.71657477143131,Before
Mumbai,Route B,Road,Carrier B,96.0,2.956572139430807,Before
Mumbai,Route B,Sea,Carrier C,77.0,10.811484810081101,Before
Mumbai,Route C,Air,Carrier B,99.0,16.6855314415011,Before
Mumbai,Route C,Road,Carrier A,72.0,4.70818187354193,Before
Mumbai,Route C,Sea,Carrier B,51.0,8.46704977086199,Before
Mumbai,Route C,Sea,Carrier C,111.0,16.439512933487407,Before
Chennai,Route A,Road,Carrier B,1844.0,42.27053829201888,After
Chennai,Route C,Road,Carrier A,1012.0,51.059016100382756,After
Kolkata,Route B,Road,Carrier A,2066.0,32.21195417695556,After
